,char,unicode
0,上,0x4e0a
1,上,0x4e0a
2,上,0x4e0a
3,上,0x4e0a
4,上,0x4e0a
5,上,0x4e0a
6,上,0x4e0a
7,上,0x4e0a
8,上,0x4e0a
9,上,0x4e0a
10,下,0x4e0b
11,下,0x4e0b
12,下,0x4e0b
13,下,0x4e0b
14,下,0x4e0b
15,下,0x4e0b
16,下,0x4e0b
17,下,0x4e0b
18,下,0x4e0b
19,下,0x4e0b
20,不,0x4e0d
21,不,0x4e0d
22,不,0x4e0d
23,不,0x4e0d
24,不,0x4e0d
25,不,0x4e0d
26,不,0x4e0d
27,不,0x4e0d
28,不,0x4e0d
29,不,0x4e0d
30,世,0x4e16
31,世,0x4e16
32,世,0x4e16
33,世,0x4e16
34,世,0x4e16
35,世,0x4e16
36,世,0x4e16
37,世,0x4e16
38,世,0x4e16
39,世,0x4e16
40,両,0x4e21
41,両,0x4e21
42,両,0x4e21
43,両,0x4e21
44,両,0x4e21
45,両,0x4e21
46,両,0x4e21
47,両,0x4e21
48,両,0x4e21
49,両,0x4e21
50,面,0x9762
51,面,0x9762
52,面,0x9762
53,面,0x9762
54,面,0x9762
55,面,0x9762
56,面,0x9762
57,面,0x9762
58,面,0x9762
59,面,0x9762
60,中,0x4e2d
61,中,0x4e2d
62,中,0x4e2d
63,中,0x4e2d
64,中,0x4e2d
65,中,0x4e2d
66,中,0x4e2d
67,中,0x4e2d
68,中,0x4e2d
69,中,0x4e2d
70,主,0x4e3b
71,主,0x4e3b
72,主,0x4e3b
73,主,0x4e3b
74,主,0x4e3b
75,主,0x4e3b
76,主,0x4e3b
77,主,0x4e3b
78,主,0x4e3b
79,主,0x4e3b
80,義,0x7fa9
81,義,0x7fa9
82,義,0x7fa9
83,義,0x7fa9
84,義,0x7fa9
85,義,0x7fa9
86,義,0x7fa9
87,義,0x7fa9
88,義,0x7fa9
89,義,0x7fa9
90,久,0x4e45
91,久,0x4e45
92,久,0x4e45
93,久,0x4e45
94,久,0x4e45
95,久,0x4e45
96,久,0x4e45
97,久,0x4e45
98,久,0x4e45
99,久,0x4e45
100,予,0x4e88
101,予,0x4e88
102,予,0x4e88
103,予,0x4e88
104,予,0x4e88
105,予,0x4e88
106,予,0x4e88
107,予,0x4e88
108,予,0x4e88
109,予,0x4e88
110,算,0x7b97
111,算,0x7b97
112,算,0x7b97
113,算,0x7b97
114,算,0x7b97
115,算,0x7b97
116,算,0x7b97
117,算,0x7b97
118,算,0x7b97
119,算,0x7b97
120,催,0x50ac
121,催,0x50ac
122,催,0x50ac
123,催,0x50ac
124,催,0x50ac
125,催,0x50ac
126,催,0x50ac
127,催,0x50ac
128,催,0x50ac
129,催,0x50ac
130,優,0x512a
131,優,0x512a
132,優,0x512a
133,優,0x512a
134,優,0x512a
135,優,0x512a
136,優,0x512a
137,優,0x512a
138,優,0x512a
139,優,0x512a
140,児,0x5150
141,児,0x5150
142,児,0x5150
143,児,0x5150
144,児,0x5150
145,児,0x5150
146,児,0x5150
147,児,0x5150
148,児,0x5150
149,児,0x5150
150,童,0x7ae5
151,童,0x7ae5
152,童,0x7ae5
153,童,0x7ae5
154,童,0x7ae5
155,童,0x7ae5
156,童,0x7ae5
157,童,0x7ae5
158,童,0x7ae5
159,童,0x7ae5
160,先,0x5148
161,先,0x5148
162,先,0x5148
163,先,0x5148
164,先,0x5148
165,先,0x5148
166,先,0x5148
167,先,0x5148
168,先,0x5148
169,先,0x5148
170,光,0x5149
171,光,0x5149
172,光,0x5149
173,光,0x5149
174,光,0x5149
175,光,0x5149
176,光,0x5149
177,光,0x5149
178,光,0x5149
179,光,0x5149
180,公,0x516c
181,公,0x516c
182,公,0x516c
183,公,0x516c
184,公,0x516c
185,公,0x516c
186,公,0x516c
187,公,0x516c
188,公,0x516c
189,公,0x516c
190,共,0x5171
191,共,0x5171
192,共,0x5171
193,共,0x5171
194,共,0x5171
195,共,0x5171
196,共,0x5171
197,共,0x5171
198,共,0x5171
199,共,0x5171
200,内,0x5185
201,内,0x5185
202,内,0x5185
203,内,0x5185
204,内,0x5185
205,内,0x5185
206,内,0x5185
207,内,0x5185
208,内,0x5185
209,内,0x5185
210,閣,0x95a3
211,閣,0x95a3
212,閣,0x95a3
213,閣,0x95a3
214,閣,0x95a3
215,閣,0x95a3
216,閣,0x95a3
217,閣,0x95a3
218,閣,0x95a3
219,閣,0x95a3
220,用,0x7528
221,用,0x7528
222,用,0x7528
223,用,0x7528
224,用,0x7528
225,用,0x7528
226,用,0x7528
227,用,0x7528
228,用,0x7528
229,用,0x7528
230,同,0x540c
231,同,0x540c
232,同,0x540c
233,同,0x540c
234,同,0x540c
235,同,0x540c
236,同,0x540c
237,同,0x540c
238,同,0x540c
239,同,0x540c
240,争,0x4e89
241,争,0x4e89
242,争,0x4e89
243,争,0x4e89
244,争,0x4e89
245,争,0x4e89
246,争,0x4e89
247,争,0x4e89
248,争,0x4e89
249,争,0x4e89
250,事,0x4e8b
251,事,0x4e8b
252,事,0x4e8b
253,事,0x4e8b
254,事,0x4e8b
255,事,0x4e8b
256,事,0x4e8b
257,事,0x4e8b
258,事,0x4e8b
259,事,0x4e8b
260,井,0x4e95
261,井,0x4e95
262,井,0x4e95
263,井,0x4e95
264,井,0x4e95
265,井,0x4e95
266,井,0x4e95
267,井,0x4e95
268,井,0x4e95
269,井,0x4e95
270,文,0x6587
271,文,0x6587
272,文,0x6587
273,文,0x6587
274,文,0x6587
275,文,0x6587
276,文,0x6587
277,文,0x6587
278,文,0x6587
279,文,0x6587
280,交,0x4ea4
281,交,0x4ea4
282,交,0x4ea4
283,交,0x4ea4
284,交,0x4ea4
285,交,0x4ea4
286,交,0x4ea4
287,交,0x4ea4
288,交,0x4ea4
289,交,0x4ea4
290,夜,0x591c
291,夜,0x591c
292,夜,0x591c
293,夜,0x591c
294,夜,0x591c
295,夜,0x591c
296,夜,0x591c
297,夜,0x591c
298,夜,0x591c
299,夜,0x591c
300,変,0x5909
301,変,0x5909
302,変,0x5909
303,変,0x5909
304,変,0x5909
305,変,0x5909
306,変,0x5909
307,変,0x5909
308,変,0x5909
309,変,0x5909
310,高,0x9ad8
311,高,0x9ad8
312,高,0x9ad8
313,高,0x9ad8
314,高,0x9ad8
315,高,0x9ad8
316,高,0x9ad8
317,高,0x9ad8
318,高,0x9ad8
319,高,0x9ad8
320,商,0x5546
321,商,0x5546
322,商,0x5546
323,商,0x5546
324,商,0x5546
325,商,0x5546
326,商,0x5546
327,商,0x5546
328,商,0x5546
329,商,0x5546
330,人,0x4eba
331,人,0x4eba
332,人,0x4eba
333,人,0x4eba
334,人,0x4eba
335,人,0x4eba
336,人,0x4eba
337,人,0x4eba
338,人,0x4eba
339,人,0x4eba
340,入,0x5165
341,入,0x5165
342,入,0x5165
343,入,0x5165
344,入,0x5165
345,入,0x5165
346,入,0x5165
347,入,0x5165
348,入,0x5165
349,入,0x5165
350,今,0x4eca
351,今,0x4eca
352,今,0x4eca
353,今,0x4eca
354,今,0x4eca
355,今,0x4eca
356,今,0x4eca
357,今,0x4eca
358,今,0x4eca
359,今,0x4eca
360,岡,0x5ca1
361,岡,0x5ca1
362,岡,0x5ca1
363,岡,0x5ca1
364,岡,0x5ca1
365,岡,0x5ca1
366,岡,0x5ca1
367,岡,0x5ca1
368,岡,0x5ca1
369,岡,0x5ca1
370,次,0x6b21
371,次,0x6b21
372,次,0x6b21
373,次,0x6b21
374,次,0x6b21
375,次,0x6b21
376,次,0x6b21
377,次,0x6b21
378,次,0x6b21
379,次,0x6b21
380,風,0x98a8
381,風,0x98a8
382,風,0x98a8
383,風,0x98a8
384,風,0x98a8
385,風,0x98a8
386,風,0x98a8
387,風,0x98a8
388,風,0x98a8
389,風,0x98a8
390,出,0x51fa
391,出,0x51fa
392,出,0x51fa
393,出,0x51fa
394,出,0x51fa
